HND,RJTT,東京国際空港（羽田空港）,Tokyo International Airport (Haneda),jp
FUK,RJFF,福岡空港,Fukuoka Airport,jp
CTS,RJCC,新千歳空港,New Chitose Airport,jp
KIX,RJBB,関西国際空港,Kansai International Airport,jp
NGO,RJGG,中部国際空港,Chubu Centrair International Airport,jp
OKA,ROAH,那覇空港,Naha Airport,jp
WKJ,RJCW,稚内空港,Wakkanai Airport,jp
KUH,RJCK,釧路空港,Kushiro Airport,jp
HKD,RJCH,函館空港,Hakodate Airport,jp
SDJ,RJSS,仙台空港,Sendai Airport,jp
KIJ,RJSN,新潟空港,Niigata Airport,jp
HIJ,RJOA,広島空港,Hiroshima Airport,jp
TAK,RJOT,高松空港,Takamatsu Airport,jp
MYJ,RJOM,松山空港,Matsuyama Airport,jp
KCZ,RJOK,高知空港,Kochi Airport,jp
KKJ,RJFR,北九州空港,Kitakyushu Airport,jp
NGS,RJFU,長崎空港,Nagasaki Airport,jp
KMJ,RJFT,熊本空港,Kumamoto Airport,jp
OIT,RJFO,大分空港,Oita Airport,jp
KMI,RJFM,宮崎空港,Miyazaki Airport,jp
KOJ,RJFK,鹿児島空港,Kagoshima Airport,jp
ITM,RJOO,大阪国際空港・伊丹空港,Osaka International Airport - Itami Airport,jp
AKJ,RJEC,旭川空港,Asahikawa Airport,jp
OBO,RJCB,帯広空港,Obihiro Airport,jp
AXT,RJSK,秋田空港,Akita Airport,jp
GAJ,RJSC,山形空港,Yamagata Airport,jp
UBJ,RJDC,山口宇部空港,Yamaguchi-Ube Airport,jp
RIS,RJER,利尻空港,Rishiri Airport,jp
RBJ,RJCR,礼文空港,Rebun Airport,jp
OIR,RJEO,奥尻空港,Okushiri Airport,jp
SHB,RJCN,中標津空港,Nakashibetsu Airport,jp
MBE,RJEB,紋別空港,Monbetsu Airport,jp
MMB,RJCM,女満別空港,Memanbetsu Airport,jp
AOJ,RJSA,青森空港,Aomori Airport,jp
HNA,RJSI,花巻空港,Hanamaki Airport,jp
ONJ,RJSR,大館能代空港,Odate-Noshiro Airport,jp
SYO,RJSY,庄内空港,Shonai Airport,jp
FKS,RJSF,福島空港,Fukushima Airport,jp
OIM,RJTO,大島空港,Oshima Airport,jp
MYE,RJTQ,三宅島空港,Miyakejima Airport,jp
HAC,RJTH,八丈島空港,Hachijojima Airport,jp
SDS,RJSD,佐渡空港,Sado Airport,jp
TOY,RJNT,富山空港,Toyama Airport,jp
NTQ,RJNW,能登空港,Noto Airport,jp
FKJ,RJNF,福井空港,Fukui Airport,jp
MMJ,RJAF,松本空港,Matsumoto Airport,jp
FSZ,RJNS,静岡空港,Shizuoka Airport,jp
UKB,RJBE,神戸空港,Kobe Airport,jp
SHM,RJBD,南紀白浜空港,Nanki-shirahama Airport,jp
TTJ,RJOR,鳥取空港,Tottori Airport,jp
IZO,RJOC,出雲空港,Izumo Airport,jp
IWJ,RJOW,石見空港,Iwami Airport,jp
OKJ,RJOB,岡山空港,Okayama Airport,jp
HSG,RJFS,佐賀空港,,jp
TSJ,RJDT,対馬空港,Tsushima Airport,jp
FUJ,RJFE,福江空港,Fukue Airport,jp
IKI,RJDB,壱岐空港,Iki Airport,jp
TNE,RJFG,種子島空港,Tanegashima Airport,jp
KUM,RJFC,屋久島空港,Yakushima Airport,jp
ASJ,RJKA,奄美空港,Amami Airport,jp
KKX,RJKI,喜界空港,Kikai Airport,jp
TKN,RJKN,徳之島空港,Tokunoshima Airport,jp
OKE,RJKB,沖永良部空港,Okinoerabu Airport,jp
AGJ,RORA,粟国空港,Aguni Airport,jp
UEO,ROKJ,久米島空港,Kumejima Airport,jp
KJP,ROKR,慶良間空港,Kerama Airport,jp
MMD,ROMD,南大東空港,Minami-Daito Airport,jp
KTD,RORK,北大東空港,Kitadaito Airport,jp
IEJ,RORE,伊江島空港,Iejima Airport,jp
MMY,ROMY,宮古空港,Miyako Airport,jp
SHI,RORS,下地島空港,Shimojijima Airport,jp
TRA,RORT,多良間空港,Tarama Airport,jp
ISG,ROIG,新石垣空港,New Ishigaki Airport,jp
HTR,RORH,波照間空港,Hateruma Airport,jp
OGN,ROYN,与那国空港,Yonaguni Airport,jp
MSJ,RJSM,三沢空港,Misawa Airport,jp
IBR,RJAH,茨城空港,Ibaraki Airport,jp
KMQ,RJNK,小松空港,Komatsu Airport,jp
YGJ,RJOH,米子空港,Yonago Airport,jp
TKS,RJOS,徳島空港,Tokushima Airport,jp
OKD,RJCO,丘珠空港,Okadama Airport,jp
NKM,RJNA,小牧空港・名古屋飛行場,Komaki Airport - Nagoya Airport,jp
TJH,RJBT,但馬空港,Tajima Airport,jp
AXJ,RJDA,天草空港,Amakusa Airport,jp
